key,工種名,path,インスタンス数,各インスタンス最終直積,縮退発動(最終パス),最大直積,上限,所要秒,エラー
32-16972,【H26】のり面清掃,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\016000\32-16972.20180401.20180401.json,1,1,,1,1000,0.03,
32-366,【H25】暗渠排水管敷設、撤去【積上方式】,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\000000\32-366.20180401.20180401.json,1,32,,32,1000,0.51,
5921-7,ベルトコンベア運搬,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5921\000000\5921-7.20180401.20180701.json,1,28,,28,1000,0.09,
160-986,河川案内板基礎工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\000000\160-986.20140401.20140801.json,1,1,,1,1000,0.03,
32-3990,トンネル清掃車,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\003000\32-3990.20180401.20180401.json,1,1152,YES,1152,1000,1.83,
64-3275,防寒養生工(ジェットヒータ養生工),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\003000\64-3275.20250401.20251101.json,1,1,,1,1000,0.05,
5928-33,バタフライ弁室築造,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5928\000000\5928-33.20240401.20240701.json,1,32,,32,1000,0.34,
6074-55,特殊街渠桝(A),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6074\000000\6074-55.20180401.20181001.json,1,2,,2,1000,0.05,
5771-1790,桝接続工 下水道用硬質塩ビ管,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\001000\5771-1790.20140401.20140501.json,1,1,,1,1000,0.02,
5712-728,現地測定,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5712\000000\5712-728.20170401.20171001.json,2,1/1,,1,1000,0.05,
64-3014,覆工板設置撤去(設置面積700m2を超える)〈覆工板のみ〉,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\003000\64-3014.20180401.20181101.json,1,6,,6,1000,0.05,
32-7591,公園緑地(左官) モルタルハケ引き仕上,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\007000\32-7591.19980401.19980401.json,2,4/8,,8,1000,0.06,
5928-282,廃路盤材直接運搬 10t BH0.80m3,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5928\000000\5928-282.20220401.20220701.json,1,1,,1,1000,0.05,
160-2150,D-2014-53側塊加工工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\002000\160-2150.20170401.20171001.json,1,1,,1,1000,0.03,
6338-19,【北九州市】アーム設置(歩行用),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6338\000000\6338-19.20180401.20181001.json,1,3,,3,1000,0.04,
32-9162,【H20】〈内管引抜機具損料(ボーリング〉二重ケーシング),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\009000\32-9162.20160401.20160401.json,1,1,,1,1000,0.02,
160-1491,ガードパイプ撤去(市場単価),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\001000\160-1491.20240401.20250201.json,1,12,,12,1000,0.09,
224-585,【H22】協議書作成,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\000000\224-585.20100401.20100401.json,2,2/4,,4,1000,0.09,
224-966,【H22】現地踏査,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\000000\224-966.20100401.20100401.json,1,1,,1,1000,0.02,
32-9980,強力吸引車,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\009000\32-9980.20050401.20050401.json,1,1,,1,1000,0.03,
160-1427,舗装版切削費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\001000\160-1427.20210401.20211201.json,2,8/32,,32,1000,0.14,
32-9012,【H25】〈E-7-2-1〉小型バックホウ損料,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\009000\32-9012.20180401.20180401.json,1,1,,1,1000,0.04,
5776-14,【H21】タイル下地モルタル塗,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5776\000000\5776-14.20180401.20181001.json,1,4,,4,1000,0.06,
32-117,【H25】バックホウ掘削積込【積上方式】,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\000000\32-117.20180401.20180401.json,1,6,,6,1000,1.05,
38-1164,<D-29-1> 仮設作業台設置撤去工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\38\001000\38-1164.20210401.20210401.json,1,16,,16,1000,0.08,
6144-312,伐倒,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6144\000000\6144-312.20210401.20220401.json,1,1,,1,1000,0.05,
32-29860,直接経費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\029000\32-29860.20240401.20240401.json,1,1,,1,1000,0.05,
32-9489,【H25】〈B-202〉新設管材費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\009000\32-9489.20130401.20130401.json,1,20,,20,1000,0.07,
