提案ID,テスト区分,根拠カテゴリ,根拠ID,差分概要,テスト軸,入力値,期待確認内容,備考
P-112,差分,質問,質問No:116,質問「規格選択(撤去)(月単位)」表示名変更,規格選択(撤去)(月単位),任意,質問の表示名が「規格選択(撤去)(月単位)」になっていること,表示名変更: 「規格選択(撤去)(月単位)」→「規格選択(撤去)(月単位)」
P-113,差分,質問,質問No:117,質問「規格選択(撤去)(6休)交替制」表示名変更,規格選択(撤去)(6休)交替制,任意,質問の表示名が「規格選択(撤去)(6休)交替制」になっていること,表示名変更: 「規格選択(撤去)(6休)交替制」→「規格選択(撤去)(6休)交替制」
P-114,差分,質問,質問No:118,質問「規格選択(撤去)(7休)交替制」表示名変更,規格選択(撤去)(7休)交替制,任意,質問の表示名が「規格選択(撤去)(7休)交替制」になっていること,表示名変更: 「規格選択(撤去)(7休)交替制」→「規格選択(撤去)(7休)交替制」
P-115,差分,質問,質問No:119,質問「規格選択(撤去)(8休)交替制」表示名変更,規格選択(撤去)(8休)交替制,任意,質問の表示名が「規格選択(撤去)(8休)交替制」になっていること,表示名変更: 「規格選択(撤去)(8休)交替制」→「規格選択(撤去)(8休)交替制」
P-116,差分,質問,質問No:120,質問「規格選択(撤去)(月単位(合計))交替制」表示名変更,規格選択(撤去)(月単位(合計))交替制,任意,質問の表示名が「規格選択(撤去)(月単位(合計))交替制」になっていること,表示名変更: 「規格選択(撤去)(月単位(合計))交替制」→「規格選択(撤去)(月単位(合計))交替制」
P-117,差分,質問,質問No:121,質問「規格選択(撤去)(通期)交替制」表示名変更,規格選択(撤去)(通期)交替制,任意,質問の表示名が「規格選択(撤去)(通期)交替制」になっていること,表示名変更: 「規格選択(撤去)(通期)交替制」→「規格選択(撤去)(通期)交替制」
P-118,差分,質問,質問No:122,質問「規格選択(撤去)(完全週休2日)交替制」表示名変更,規格選択(撤去)(完全週休2日)交替制,任意,質問の表示名が「規格選択(撤去)(完全週休2日)交替制」になっていること,表示名変更: 「規格選択(撤去)(完全週休2日)交替制」→「規格選択(撤去)(完全週休2日)交替制」
P-119,差分,質問,質問No:123,質問「規格選択(撤去)(月単位)交替制」表示名変更,規格選択(撤去)(月単位)交替制,任意,質問の表示名が「規格選択(撤去)(月単位)交替制」になっていること,表示名変更: 「規格選択(撤去)(月単位)交替制」→「規格選択(撤去)(月単位)交替制」
P-120,差分,質問,質問No:124,質問「規格選択(再設置)(補正なし)」表示名変更,規格選択(再設置)(補正なし),任意,質問の表示名が「規格選択(再設置)(補正なし)」になっていること,表示名変更: 「規格選択(再設置)(補正なし)」→「規格選択(再設置)(補正なし)」
P-121,差分,質問,質問No:125,質問「規格選択(再設置)(6休)」表示名変更,規格選択(再設置)(6休),任意,質問の表示名が「規格選択(再設置)(6休)」になっていること,表示名変更: 「規格選択(再設置)(6休)」→「規格選択(再設置)(6休)」
P-122,差分,質問,質問No:126,質問「規格選択(再設置)(7休)」表示名変更,規格選択(再設置)(7休),任意,質問の表示名が「規格選択(再設置)(7休)」になっていること,表示名変更: 「規格選択(再設置)(7休)」→「規格選択(再設置)(7休)」
P-123,差分,質問,質問No:127,質問「規格選択(再設置)(8休)」表示名変更,規格選択(再設置)(8休),任意,質問の表示名が「規格選択(再設置)(8休)」になっていること,表示名変更: 「規格選択(再設置)(8休)」→「規格選択(再設置)(8休)」
P-124,差分,質問,質問No:128,質問「規格選択(再設置)(月単位(合計))」表示名変更,規格選択(再設置)(月単位(合計)),任意,質問の表示名が「規格選択(再設置)(月単位(合計))」になっていること,表示名変更: 「規格選択(再設置)(月単位(合計))」→「規格選択(再設置)(月単位(合計))」
P-125,差分,質問,質問No:129,質問「規格選択(再設置)(通期)」表示名変更,規格選択(再設置)(通期),任意,質問の表示名が「規格選択(再設置)(通期)」になっていること,表示名変更: 「規格選択(再設置)(通期)」→「規格選択(再設置)(通期)」
P-126,差分,質問,質問No:130,質問「規格選択(再設置)(完全週休2日)」表示名変更,規格選択(再設置)(完全週休2日),任意,質問の表示名が「規格選択(再設置)(完全週休2日)」になっていること,表示名変更: 「規格選択(再設置)(完全週休2日)」→「規格選択(再設置)(完全週休2日)」
P-127,差分,質問,質問No:131,質問「規格選択(再設置)(月単位)」表示名変更,規格選択(再設置)(月単位),任意,質問の表示名が「規格選択(再設置)(月単位)」になっていること,表示名変更: 「規格選択(再設置)(月単位)」→「規格選択(再設置)(月単位)」
